LastModified,ProcessLevelCode,ProcessLevel,Level1,Leve1Code,level2,level2code
"2026-01-28 13:54:57.3770640","6400-DEvwab","NOCCO Ramonade 105mg 330ml 24-pack",,,"Products",
"2026-06-04 17:14:22.9695820","B1151-DEFRNLbbde","Barebells Bars Limited Edition 2 55g 12-pack",,,"Products",
"2026-01-13 08:56:50.8768110","1150-NLvwbe","Vitamin Well Protect 500ml 12-pack","Products","100","Products",
"2026-08-04 12:28:25.9148170","663vwnl","1/4 Chep Pallet","Services","101","Products",
"2026-01-12 09:12:46.0819470","P10807vwab","1/3 pall Expoställ Smiling Hyllpall 2.0",,,"Products",
"2026-03-24 08:39:47.4839650","VW1290-GRvwab","Vitamin Well Zero Peach 500ml 12-pack",,,"Products",
"2026-02-25 09:24:31.4706380","ESP014vdes","TIRABALDAS VW V1","Products","100","Products",
"2026-07-07 15:27:17.8151910","NC6680-NLvwbe","NOCCO Electrolyte Blood Orange 355ml 24-pack","Products","100","Products",
"2026-07-06 14:19:39.0398820","P3/116602-21vwch","Topper DE","POS","104","Products",
"2026-03-26 09:54:18.1480250","P12919ppdk","VITAMIN WELL BLIND BOTTOM 1/4 DISPLAY",,,"Products",
"2026-06-08 18:42:23.5166460","VM0060vmus","Flow Wrap - Chocolate Dough - Version 5.0 - 150mm",,,"Products",
"2026-04-10 14:13:56.4280980","P12566vwbe","VW 1/3-PALLET",,,"Products",
"2026-04-15 11:09:10.3452530","B1125-GBDKNOvwuk","Barebells Bars Pistachio Spread 45g 12-pack",,,"Products",
"2026-07-01 15:15:18.1380410","B1705-USAvwll","Barebells Nordic Bite 5 55g 14-pack",,,"Products",
"2026-06-04 17:14:22.9695820","B1140-DEFRNLbbde","Barebells Bars Christmas Edition 1 55g",,,"Products",
"2026-03-24 08:39:47.4839650","VW1310-GRvwab","Vitamin Well Zero Lemon 500ml 12-pack",,,"Products",
"2026-02-25 09:24:31.4706380","ESP015vdes","TIRABALDAS BB V1",,,"Products",
"2026-07-07 15:27:17.8151910","NC6690-NLvwbe","NOCCO Electrolyte Lemon Lime 355ml 24-pack","Products","100","Products",
"2026-07-06 14:19:39.0398820","P3/116602-22vwch","Topper FR","POS","104","Products",
"2026-03-26 09:54:18.1480250","P12920ppdk","BAREBELLS MILKSHAKE BLIND BOTTOM 1/4 DISPLAY",,,"Products",
"2026-05-11 09:05:43.6866600","VM0061vmus","Flow Wrap - Chocolate Dough - Version 5.1 - 140mm",,,"Products",
"2026-04-10 14:13:56.4280980","P12567vwbe","VW 1/2 PALLET",,,"Products",
"2026-03-13 10:13:29.2502790","P12772vwab","Pop-up Grand Sour re-launch ",,,"Products",
"2026-07-01 15:15:18.1380410","B1706-USAvwll","Barebells Nordic Bite 6 55g 14-pack",,,"Products",
"2026-06-04 17:14:22.9695820","B1135-DEFRNLbbde","Barebells Bars Limited Edition 4 55g 12-pack",,,"Products",
"2026-02-25 09:24:31.4706380","ESP016vdes","TIRABALDAS NOCCO V2",,,"Products",
"2026-07-06 14:19:39.0398820","P3/116602-23vwch","Topper IT","POS","104","Products",
"2026-03-26 09:54:18.1480250","P12537bbde","Floor Stand Barebells bars",,,"Products",
"2026-05-07 06:38:59.0039980","VM0062vmus","Flow Wrap - Caramel Cashew - Version 5.0 - 140mm",,,"Products",
"2026-03-13 10:13:29.2502790","P12773vwab","Corner sign Grand Sour re-launch",,,"Products",
"2026-07-01 15:15:18.1380410","B1707-USAvwll","Barebells Nordic Bite 7 55g 14-pack",,,"Products",
"2026-07-22 12:41:36.7994240","100195vwab","1/2 pall Vitamin Well 5 Sort v37",,,"Display","03"
"2026-06-04 17:14:22.9695820","B1087-DEFRNLbbde","Barebells Chewy Santa's Strawberry 40g 18-pack","Products","100","Products",
"2026-03-10 16:24:29.0120250","PBM5026ppdk","BB Milkshake Topsign 1/4 - Caffe Caramello TW2",,,"Products",
"2026-02-25 09:24:31.4706380","ESP017vdes","TIRABALDAS VW V2","Products","100","Products",
"2026-03-26 09:54:18.1480250","P12539bbde","Floor Stand Milkshake",,,"Products",
"2026-05-11 09:05:43.6866600","VM0063vmus","4ct Display Case - Chocolate Dough - Version 1.5",,,"Products",
"2026-06-02 11:40:08.5889020","UKCSBB0003vwuk","Barebells Clip Strip Pistachio","Products","100","Display","03"
"2026-07-01 14:45:18.6707940","B1164-USAvwab","Barebells Milk Drink Variety Pack 1","Products","100","Products",
"2026-07-22 12:41:36.7994240","100196vwab","1/3 pall Vitamin Well 4 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1112vwuk","Barebells Bars Peppermint Bark 55g 12-pack",,,"Products",
"2026-03-10 16:24:29.0120250","PBB7019ppdk","BB Topsign 1/4 - Cinnamon Bun TW2",,,"Products",
"2026-03-31 13:10:27.0851500","301051ppdk","SAMPLES VW ¼ display - TW2 2026","POS","104","Display","03"
"2026-02-25 09:24:31.4706380","ESP018vdes","TIRABALDAS BB V2",,,"Products",
"2026-03-26 09:54:18.1480250","P12541bbde","Counter Display Barebells",,,"Products",
"2026-06-17 23:55:45.9813330","CA00015bbca","Barebells 1/2 Pallet NEW MILK MIX -195 CT v2 ",,,"Products",
"2026-03-13 10:13:29.2502790","P12590vwab","SE FLOOR STICKER SMALL CA 680X400",,,"Products",
"2026-05-07 06:38:59.0039980","VM0064vmus","4ct Display Case - Caramel Cashew - Version 1.4",,,"Products",
"2026-03-13 10:13:29.2502790","P12774vwab","Pallsvep Gran Sour re-launch ",,,"Products",
"2026-07-22 12:41:36.7994240","100197vwab","1/2 pall Vitamin Well Zero 4 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1124-GBDKNOvwuk","Barebells Bars Peanut Cloud 55g 12-pack",,,"Products",
"2026-03-10 16:24:29.0120250","PVW7018ppdk","VW Topsign 1/4 - All Day TW2",,,"Products",
"2026-04-21 08:55:24.6248460","9874vwus","1006609 NSA High Protein Caramel RTE ",,,"Products",
"2026-06-16 08:59:20.0274610","302021ppdk","SAMPLES Nåbe ¼ display - TW2 2026",,,"Display","03"
"2026-02-25 09:24:31.4706380","ESP019vdes","STOPPER BB BARRITA",,,"Products",
"2026-03-26 09:54:18.1480250","P12545bbde","Floor Stand VW",,,"Products",
"2026-05-07 06:38:59.0039980","VM0065vmus","4ct Display Case - Salty Peanut - Version 1.4",,,"Products",
"2026-03-13 10:13:29.2502790","P12775vwab","Floor Sticker Nocco News",,,"Products",
"2026-07-22 12:41:36.7994240","100198vwab","1/2 pall Vitamin Well 1,15 5 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1125vwuk","Barebells Bars Pistachio Spread 45g 12-pack","Products","100","Products",
"2026-05-27 12:29:24.0522540","US00011vwus","Barebells ABSCO PS & PSL 48ct 4pk Display","Products","100","Display","03"
"2026-02-10 09:56:18.7511970","PBM5027ppdk","BB Milkshake Gablesign 1/4 - Caffe Caramello TW2",,,"Products",
"2026-02-12 16:09:32.2108520","9875vwus","1006610 NSA High Protein Salted Caramel RTE ",,,"Products",
"2026-02-23 12:12:11.5065960","303053ppdk","SAMPLES NOCCO ¼ display - TW2 2026","POS","104","Products",
"2026-07-20 15:17:45.4017070","BB1066bbde","Barebells Milkshake ¼ Chep Display",,,"Display","03"
"2026-02-25 09:24:31.4706380","ESP020vdes","STOPPER BB BATIDOS","Products","100","Products",
"2026-06-04 17:14:22.9695820","P12781bbde","VW 1/4 Pallet",,,"Products",
"2026-05-07 06:38:59.0039980","VM0066vmus","4ct Display Case - Cookies & Caramel - Version 1.4",,,"Products",
"2026-03-11 14:10:20.1553360","B2310vwab","Tyngre Jordgubb/Lime Elektrolyter 24-pack Box","Products","100","Products",
"2026-04-21 14:39:42.8409790","100199vwab","Helpall NOCCO 5 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1120-GBDKNOvwuk","Barebells Bars Hazelnut Spread 45g 12-pack","Products","100","Products",
"2026-05-27 12:29:24.0522540","US00012vwus","Barebells WMT PS & PSL 36ct 4pk Sidekick","Products","100","Display","03"
"2026-02-10 09:56:18.7511970","PBB07020ppdk","BB Gablesign 1/4 - Cinnamon Bun TW2",,,"Products",
"2026-04-21 08:55:24.6248460","9876vwus","1006611 NSA White Caramel ",,,"Products",
"2026-02-23 12:12:11.5065960","303054ppdk","SAMPLES NOCCO electro ¼ display - TW2 2026","POS","104","Products",
"2026-02-25 09:24:31.4706380","ESP021vdes","PEGATINA VW","Products","100","Products",
"2026-06-04 17:14:22.9695820","P12782bbde","Huv VW 1/4 Pallet",,,"Products",
"2026-05-11 09:05:43.6866600","VM0067vmus","12ct Display Case - Chocolate Dough - Version 5.5",,,"Products",
"2026-03-11 14:10:20.1553360","B2310-1vwab","Tyngre Jordgubb/Lime Elektrolyter 1 st Påse","Products","100","Products",
"2026-07-28 08:57:30.6246650","100200vwab","1/2 pall NOCCO 5 Sort v37",,,"Display","03"
"2026-01-12 09:12:46.0819470","B1104tyab","Barebells Bars Wild Cherry 55g 12-pack","Products","100","Products",
"2026-05-07 11:41:04.0908450","B1121-GBDKNOvwuk","Barebells Bars Chocolate Spread 45g 12-pack","Products","100","Products",
"2026-02-10 10:11:25.1509650","PVW07019ppdk","VW Gablesign 1/4 - All Day TW2",,,"Products",
"2026-02-23 12:12:11.5065960","304517ppdk","SAMPLES BB milkshake ¼ display - TW2 2026",,,"Products",
"2026-02-25 09:24:31.4706380","ESP022vdes","PEGATINA BB BATIDOS","Products","100","Products",
"2026-07-02 08:47:23.5734700","P12783bbde","NOCCO 1/4 Pallet",,,"Products",
"2026-05-07 06:38:59.0039980","VM0068vmus","12ct Display Case - Caramel Cashew - Version 5.4",,,"Products",
"2026-03-12 09:10:14.8707780","B2310tyab","Tyngre Jordgubb/Lime Elektrolyter 24-pack Box","Products","100","Products",
"2026-07-03 12:45:32.2985540","NC6090-PTvwab","NOCCO Apple BCAA+ 330ml 24-pack",,,"Products",
"2026-07-28 08:57:30.6246650","100201vwab","1/3 pall NOCCO 3 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1139-GBDKNOvwuk","Barebells Bars Fall edition w.34 Type A",,,"Products",
"2026-02-10 10:11:25.1509650","PNB07008ppdk","NÅBE Gablesign 1/4 - Cool Pina TW2",,,"Products",
"2026-02-25 09:24:31.4706380","ESP023vdes","PEGATINA BB BARRITAS",,,"Products",
"2026-07-09 20:11:23.1041050","VM0018vmus","Calcium Caseinate MiProdan 40",,"108","Products",
"2026-07-02 08:47:23.5734700","P12784bbde","Huv NOCCO 1/4 Pallet",,,"Products",
"2026-05-07 06:38:59.0039980","VM0069vmus","12ct Display Case - Salty Peanut - Version 5.4",,,"Products",
"2026-03-16 11:28:14.3700860","B3019-Styab","Barebells Protein Milkshake Caffe Caramello 330ml 1 st","Products","100","Products",
"2026-06-29 09:42:37.6633080","B2310-1tyab","Tyngre Jordgubb/Lime Elektrolyter 1 st Påse","Products","100","Products",
"2026-07-03 12:45:32.2985540","NC6500-PTvwab","NOCCO Focus Grand Sour 180mg 330ml 24-pack",,,"Products",
"2026-07-28 09:13:41.4303320","100202vwab","1/3 pall NOCCO Electrolyte 3 Sort v37",,,"Display","03"
"2026-05-07 11:41:04.0908450","B1087-GBDKNOvwuk","Barebells Chewy Santa's Strawberry 40g 18-pack","Products","100","Products",
"2026-02-25 10:39:49.8557070","PNB07009ppdk","NÅBE Floorsticker - Cool Pina TW2",,,"Products",
"2026-05-26 06:30:19.7675600","P12979vwab","NOCCO 4-pack Yasin Ayari pop-up",,,"Products",
"2026-02-25 09:24:31.4706380","ESP024vdes","PEGATINA NOCCO",,,"Products",
"2026-07-09 20:11:23.1041050","VM0019vmus","WPI Lacprodan",,"108","Products",
"2026-03-26 09:54:18.1480250","P12789bbde","Barebells 1/4 Pallet Bars",,,"Products",
